<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
04/04/05,000000,17050.0000000,17838.9800000,16935.0000000,17630.0000000,70800
11/04/05,000000,17635.0000000,18294.0000000,16911.0000000,18170.0000000,99430
18/04/05,000000,18165.0000000,18523.5000000,17600.0000000,18205.9900000,78313
25/04/05,000000,18259.5000000,18530.0000000,17727.0100000,17961.0000000,93184
02/05/05,000000,17977.5000000,18445.0000000,17969.0000000,18065.0000000,57287
09/05/05,000000,17890.0000000,18385.0000000,17600.0000000,17820.0000000,36936
16/05/05,000000,17785.0000000,18160.0000000,17400.0000000,17860.0000000,42646
23/05/05,000000,17895.0100000,18281.0000000,17199.0100000,17845.0000000,45791
30/05/05,000000,17847.0000000,18600.0000000,17735.0100000,18564.0000000,61308
06/06/05,000000,18565.0000000,18565.0000000,18267.5600000,18425.0000000,23681
13/06/05,000000,18476.0000000,18680.0000000,18350.0000000,18576.0000000,29789
20/06/05,000000,18600.0000000,19140.0000000,18390.0000000,19000.0000000,53800
27/06/05,000000,19000.0000000,19406.0000000,18751.0100000,19230.0000000,46406
04/07/05,000000,19309.9500000,20970.0000000,18772.6300000,20885.0000000,130356
11/07/05,000000,20892.5000000,21345.0000000,20522.0100000,20920.0000000,68869
18/07/05,000000,20910.0000000,23000.0000000,20700.0000000,22090.0200000,114102
25/07/05,000000,22150.0000000,23319.9900000,21601.0000000,21861.0000000,108603
01/08/05,000000,21849.9000000,22789.0000000,21450.0000000,22640.0000000,76686
08/08/05,000000,22595.0000000,22739.9400000,21720.0000000,21937.0000000,51186
15/08/05,000000,21950.0000000,24429.9900000,21801.0000000,24219.5400000,80037
22/08/05,000000,23435.0000000,26283.5000000,23435.0000000,25101.0000000,81509
29/08/05,000000,25120.0000000,25900.0000000,24890.0500000,25625.0000000,49024
05/09/05,000000,25627.5000000,26100.0000000,23667.0000000,25649.9800000,113362
12/09/05,000000,25685.0000000,26100.0000000,25100.0000000,25777.0000000,67170
19/09/05,000000,25760.0000000,27477.7700000,25555.0100000,26927.0000000,91594
26/09/05,000000,26913.5000000,27699.0000000,26425.0000000,27390.0000000,59184
